부위,한글,질병,증상1,증상2,증상3,증상4,증상5,증상6,증상7,증상8,증상9,증상10,증상11,간단한설명,좋은음식,꺼려야할음식
Head/Neck,중이염,otitis media,이루,난청,이통,두통,어지럼증,,,,,,,귀 고막 안의 공간인 중이에 염증이 생기는 질병입니다.,없음,"음주, 흡연"
Head/Neck,녹내장,glaucoma,시력감소,두통,구토,충혈,시야결손,,,,,,,눈의 공간을 채우는 액체의 압력이 높아져 시력을 조금씩 서서히 잃게 하는 병입니다.,"시금치, 토마토, 결명자, 감자","음주, 커피, 콜라, 사탕, 밀가루, 소금등"
Head/Neck,안구건조증,dry eye,눈시림,이물감,안구통증,눈피로,눈물,충혈,,,,,,눈을 촉촉하게 적셔서 부드럽고 편안한 눈 상태를 유지해 주는 눈물층의 양과 질이 감소하거나 변동이 생겨 눈물층에 이상이 발생하는 증세를 말합니다.,"당근, 토마토, 사과, 등푸른 생선, 양배추, 브로콜리","설탕, 밀가루, 음주"
Head/Neck,알레르기성결막염,allergic rhinoconiunctivitis,눈가려움,충혈,안구통증,작열감,눈물,부종,눈곱,,,,,"세균, 바이러스, 진균, 꽃가루, 먼지, 화장품, 화학 자극 등에 의해 결막에 염증이 생긴 상태를 말합니다.","녹차, 녹황색야채, 감자, 당근, 시금치, 등푸른생선","음주, 매운 음식, 인스턴트 음식"
Head/Neck,황반변성,macular degeneration,시력감소,중심암점,변시증,,,,,,,,,노화에 따라 황반의 기능에 문제가 생겨서 시력을 떨어뜨리거나 잃게 하는 질병입니다.,"등푸른 생선, 블루베리, 녹황색채소, 시금치","음주, 흡연"
Head/Neck,각막염,corneitis,안구통증,시력감소,눈물,눈부심,각막혼탁,,,,,,,각막이 손상되고 부종이 생기며 여러 염증 세포들이 모이면서 염증 반응을 일으키는 상태를 말합니다.,"당근, 토마토, 홍삼","음주, 흡연"
Head/Neck,백내장,cataract,시력감소,수정체근시,단안복시,각막혼탁,,,,,,,,눈 속의 카메라 렌즈에 해당하는 수정체가 뿌옇게 되는 질병입니다.,"당근, 시금치, 아몬드, 블루베리",커피
Head/Neck,뇌수막염,cerebromeningitis,발열,두통,오한,수막자극징후,,,,,,,,뇌를 둘러싸고 있는 수막(뇌막)에 염증이 발생한 병입니다.,"고등어, 블루베리",없음
Head/Neck,뇌전증,epilepsy,의식장애,전신강직,청색증,입에 거품,,,,,,,,"뇌신경세포가 일시적으로 비정상적인 전기방전을 일으킬 때 정상적인 뇌기능을 방해함으로써 운동, 감각, 정신적인 증상으로 이뤄진 발락이 생긱니다. 그러나 여러 원인으로 인해 발작을 억제하는 기능이 저하되면 발작이 반복적으로 나타날 수 있습니다. 이런 발작 증상을 뇌전증이라고 합니다.","호두, 아사이베리",음주
Head/Neck,치아우식증,dental caries,치통,치아시림,,,,,,,,,,입안의 미생물이 당분을 산으로 전환시키면서 만들어진 산이 치아 조직의 회 성분을 뽑아냄으로써 발생합니다.,"과일, 야채, 견과류",당류가 높은 음료
Head/Neck,치주질환 및 치은염,periodontal disease and gingivitis,잇몸 발적,잇몸 출혈,깊은 치주낭,구취,치아흔들림,저작 시 통증,,,,,,"치주질환은 흔히 풍치라고도 하는데, 병의 정도에 따라 치은염과 치주염으로 나뉜다. 비교적 가볍고 회복이 빠른 형태의 치주질환으로 잇몸에만 국한된 형태를 치은염이라고 하고, 이러한 염증이 잇몸과 잇몸뼈 주변까지 진행된 경우를 치주염이라고 한다.","시금치, 가지, 귤","인스턴트음식, 음주"
Upper,협심증,angina pectoris,흉통,호흡곤란,실신,심근허혈,,,,,,,,"심장에 혈액을 공급하는 관상동맥이 동맥경화증으로 좁아져 생기며, 심장부에 갑자기 심한 통증이나 발작을 일으키는 질병입니다.","토마토, 검은콩, 양파, 등푸른생선","계란 노른자, 튀김, 기름기가 많은 고기"
