부위,한글,질병,증상1,증상2,증상3,증상4,증상5,증상6,증상7,증상8,증상9,증상10,증상11,간단한설명,좋은음식,꺼려야할음식
Lower,요로결석증,urolithiasis,복통,빈뇨,구역,구토,혈뇨,,,,,,,"요로결석은 오래된 질환으로서 비뇨기과 질환 중에서 감염 다음으로 흔한 질환입니다.?요로 결석이란 말 그대로 신장,요관,?방광 등 요로에 결석이 형성되어 감염이나 요폐색 등의 합병증을 유발하는 질환을 말합니다.?","현미, 채식","백미, 육식"
Lower,방광암,bladder cancer,혈뇨,방광자극,급뇨,배뇨시 통증,하지부종,,,,,,,방광은 여러 층의 근육으로 둘러싸여 있으며 근육층의 안쪽에는 이행상피나 요로상피라고 하는 점막조직이 있습니다. 방광암은 대부분 이행상피(요로상피)에서 발생하므로 이행세포암이나 요로상피암이라고도 말합니다.,"수분 섭취, 콩","담배, 고콜레스테롤 음식"
Lower,신장암,renal cancer,혈뇨,고혈압,간이상,고칼슘혈증,,,,,,,,체내 노폐물을 여과해 소변을 만드는 중요한 기관인 신장에 생기는 암입니다.체내 노폐물을 여과해 소변을 만드는 중요한 기관인 신장에 생기는 암입니다.,"양배추, 풋고추, 토마토, 옥수수, 우엉, 양파","담배, 짠 음식, 술"
Lower,산후우울증,postpartum depression,우울감,의욕상실,수면의변화,피로,집중력저하,불안함,무가치감,죄책감,자살 사고,,,출산 후 85%에 달하는 여성들이 일시적으로 우울감을 경험합니다. 대부분은 일상적 생활에 장애를 초래할 정도로 심각하지 않습니다.,"바나나, 초콜릿, 생강, 감자",없음
Lower,임신중독증,toxemia,혈압상승,부종,두통,복통,오심,구토,시야장애,응고장애,태야 발육부전,태아사망,산모발작,임신 기간 중 혈압의 상승과 더불어 소변에서 단백뇨가 검출되는 질환입니다.임신 기간 중 혈압의 상승과 더불어 소변에서 단백뇨가 검출되는 질환입니다.,"단호박, 샐러드, 파프리카, 토마토, 당근, 오이",짠 음식
Lower,조기진통,preterm labour,복통,요통,질 출혈,조기 분만,,,,,,,,임신 37주 이전에 진통이 시작되는 것은 조기진통(preterm labor)이라 한다,양배추 등 각종 야채,짜고 매운 음식
Lower,자궁경부무력증,incompetent cervix,질 출혈,냉색변화,질입구 양막,,,,,,,,,자궁경부의 구조나 기능에 결함이 있어서 이러한 역할을 유지하지 못하는 경우를 자궁경부 무력증 또는 자궁경부 부전증이라고 합니다.,"마늘, 브로콜리, 파프리카, 버섯, 토마토, 해조류","음주, 흡연"
Lower,조산,premature birth,임신 10개월 이전에 골반 및 하복부 압박증상,생리통 같은 통증,질 출혈,무색분비물의 증가,,,,,,,,출산 예정일보다 이르게 출산한다.,활성 단백질 식품,"짠 음식, 매운 음식, 자극적인 음식"
Lower,자궁기형,uterine anomaly,복통,월경주기 변화,난임,유산,,,,,,,,"자궁이 형성 될때, 이 과정에 장애가 생기면 임신은 가능하나, 임신지속이나 분만에 장애가 생긴다.",없음,없음
Lower,자궁경부암,cervical cancer,질분비물,배뇨곤란,혈뇨,직장출혈,요통,하지부종,성교 후 출혈,체중감소,,,,자궁의 입구인 자궁경부에 발생하는 여성 생식기 암입니다.자궁의 입구인 자궁경부에 발생하는 여성 생식기 암입니다.,없음,없음
Lower,자궁근종,fibroid,월경과다,골반통증,월경통,빈뇨,성교 시 통증,,,,,,,자궁 근종은 자궁의 근육 층에 생긴 양성 종양으로 여성에게 일어나는 가장 흔한 골반 내 질환입니다.,"해조류, 견과류","카페인, 알코올, 콜레스테롤이 높은 음식, 당분이 많은 음식"
Lower,자궁내막암,solenoma,질출혈,하복통,압통,혈뇨,빈뇨,직장출혈,요통,,,,,자궁경부가 아닌 자궁의 체부에 발생하는 암으로 폐경 이후에 주로 생깁니다. 자궁내막암은 자궁 안의 조직이 비정상적으로 지나치게 증식하는 질병입니다.,"구기자, 브로콜리, 견과류, 민들레차, 검은 콩, 등푸른 생선, 부추, 당귀, 버섯","기름진 요리, 석류, 유제품"
Lower,치질,hermorrhoids,항문출혈,탈홍,항문통증,,,,,,,,,항문에 덩어리가 생기는 질병,배변을 원할하게 할 수 있는 음식물,매운 음식. 튀긴 음식
