부위,한글,질병,증상1,증상2,증상3,증상4,증상5,증상6,증상7,증상8,증상9,증상10,증상11,간단한설명,좋은음식,꺼려야할음식
Upper,협심증,angina pectoris,흉통,호흡곤란,실신,심근허혈,,,,,,,,"심장에 혈액을 공급하는 관상동맥이 동맥경화증으로 좁아져 생기며, 심장부에 갑자기 심한 통증이나 발작을 일으키는 질병입니다.","토마토, 검은콩, 양파, 등푸른생선","계란 노른자, 튀김, 기름기가 많은 고기"
Upper,궤양성대장염,ulcerative colitis,설사,혈변,복통,식욕부진,체중감소,피로,,,,,,"장기간에 거쳐 반복되는 질환이며, 염증과 궤양이 대장에서만 생깁니다.","보리, 양배추, 등푸른생선, 요구르트","콩, 야채, 절인 채소, 오렌지, 레몬,설탕, 커피"
Upper,위암,gastric adenocarcinoma,소화불량,속쓰림,오심,구토,식욕부진,체중감소,토혈,복통,,,,"위의 안쪽 면을 싸고 있는 위점막에서 시작되어 점막층 아래에 있는 점막하층, 근육층 및 가장 바깥 면을 싸고 있는 장막층으로 파고들어가 자라며 심하면 위벽을 뚫고 주위에 있는 간, 췌장, 비장 등에까지 침범하는 병입니다.",골고루 천천히 식사하기,"매운 음식, 짠 음식, 튀긴 음식"
Upper,대장암,colorectal cancer,혈변,점액변,설사,변비,복통,배변습관의 변화,변을 보고도 시원하지 않음,복부 불편감,,,,결장과 직장에 생기는 악성 종양을 대장암이라고 합니다.,식이섬유소,"적색육(소고기나 돼지고기), 가공육(햄이나 소시지), 음주"
Upper,췌장암,pancreatic cancer,복통,체중감소,황달,지방변,회색변,구토,오심,소화불량,,,,"췌장은 음식물의 소화를 위한 소화효소와 인슐린과 같은 호르몬을 분비하는 장기로 위장의 뒤에 위치하며 약 20cm의 기다란 구조를 가지고 있습니다. 췌장은 크게 머리부분, 몸통부분, 꼬리부분으로 나뉩니다. 이와 같은 췌장에 발생한 암을 췌장암이라고 하는데 췌장의 머리부분에 흔히 발생합니다","콩, 과일, 브로콜리, 시금치, 마늘","적색육(소고기나 돼지고기), 가공육(햄이나 소시지), 음주, 흡연"
Upper,간경변,liver cirrhosis,소화불량,식욕부진,구토,메스꺼움,복통,황달,,,,,,정상적인 간세포가 죽고 흉터가 늘어가는 만성 간질환을 통틀어 일컫습니다. 쉽게 말하면 간 전체에 흉터가 생겨서 딱딱해진 것입니다.,"단백질, 과일, 채소, 비타민K, 다슬기","짠 음식, 카페인"
Upper,담석,cholelithiasis,복통,황달,발열,위경련,구토,오한,,,,,,담낭(쓸개) 안에 생긴 작은 돌 같은 물질을 담석이라고 합니다. 담석은 담즙 내 구성 성분이 담낭이나 담관 내에서 응결 및 침착되어 형성된 결정성 구조물을 말합니다.,"매실, 연근, 바지락, 고구마",기름진 음식
Upper,지방간,fatty liver,피로,복통,,,,,,,,,,간 안에 지나치게 많은 지방이 쌓여서 생깁니다. 일반적으로 지방이 간 무게의 5% 이상 쌓이면 지방간으로 진단합니다.,"고단백음식, 채소, 해조류, 잡곡","기름진 음식, 음주"
Upper,A형간염,hepatitis A,피로,구토,메스꺼움,식욕부진,발열,복통,황달,전신 가려움,,,,간염 바이러스의 한 종류인 A형 간염 바이러스에 의해 발생하는 간염으로 주로 급성간염의 형태로 나타난다.,"고단백음식, 생선, 달걀, 두부, 콩, 유제품","기름진 음식, 인스턴트식품, 음주"
Upper,"B형, C형간염","hepatitis B,C",피로,식욕부진,구토,구역,근육통,미열,황달,,,,,간염 바이러스의 한 종류인 B형 간염 바이러스 또는 C형 간염 바이러스에 의해 발생하는 간염입니다.,"고단백음식, 호박, 복분자, 부추, 재첩, 헛개나무, 결명자","기름진 음식, 음주"
Upper,식중독,food poisoning,구역,구토,설사,복통,발열,,,,,,,"병원균을 비롯해 미생물 독소, 화학물질 및 기타 독성물질에 오염된 음식을 먹은 뒤 발생하는 질병을 말합니다.","매실, 수수, 팥, 녹차","찬 음식, 유제품, 날 음식"
Upper,장염,gastroenteritis,구역,구토,설사,복통,발열,,,,,,,"장염은 전 세계적으로 급성상기도염 다음으로 흔한 질환입니다. 약간의 복부 불쾌감에서부터 사망에 이르는 중한 장염까지 여러가지 임상을 나타내며, 그 원인과 발생양상도 매우 다양합니다.","매실, 수수, 팥, 녹차","찬 음식, 유제품, 날 음식"
Upper,감기,common colde,콧물,코막힘,인후통,기침,근육통,미열,,,,,,"성인은 평균적으로 연간 2~3회 감기에 걸리게 되고 소아는 6~8회 걸리게 됩니다. 감기(급성비인두염, Common cold)는 바이러스를 포함한 여러 병원체에 의한 급성 윗숨길(상기도) 감염이며 직장의 결근 및 학교의 결석 등 사회생활과 일상생활에 지장을 주는 매우 흔한 질병이고, 연간 2조원이 넘는 의료비 증가의 주요 원인이 됩니다. ","마늘, 부추, 강황, 계피, 생강, 꿀","비타민C가 풍부한 음료, 커피"
Upper,만성폐색성폐질환,chronic obstructive pulmonary disease,기침,가래,호흡곤란,,,,,,,,,"단일 질환을 의미하는 말이 아니며, 폐기능상 폐색장애를 나타내며 가끔 상호 합병해서 임상적인 감별진단이 어려운 경우가 있는 기관지천식, 만성기관지염, 기관지 확장증, 폐기종의 4가지 질환을 포함한 총괄적인 질환군의 호칭.",없음,없음
Upper,비염,rhinitis,콧물,코막힘,화농성 고름,후비루,재채기,후각소실,후각감퇴,,,,,일반적으로 만성적으로 생기는 비강내의 염증을 만성비염이라고 하는데 이는 정확한 의학용어는 아니며 여러 종류의 비염들을 포괄해서 일컫는 용어라 할 수 있습니다.,"대추, 딸기, 녹황색 채소","유제품, 찬 음식, 인스턴트"
Upper,인플루엔자,influenza,발열,두통,근육통,기침,인후통,,,,,,,"독감은 인플루엔자 바이러스에 의한 급성 호흡기 질환이다. 독감은 상부 호흡기계(코, 목)나 하부 호흡기계(폐)를 침범하며 갑작스런 고열, 두통, 근육통, 전신 쇠약감과 같은 전반적인 신체 증상을 동반한다.",홍삼,없음
