부위,한글,질병,증상1,증상2,증상3,증상4,증상5,증상6,증상7,증상8,증상9,증상10,증상11,간단한설명,좋은음식,꺼려야할음식
Whole,골절,fracture,압통,부종,변형,쇼크,,,,,,,,외부의 충격으로 뼈가 부러지는 것입니다.,"표고버섯, 검은콩, 견과류, 미역, 자두, 사골, 우유, 멸치, 시금치, 계란","탄산음료를 비롯한 산성도가 높은 음료, 나트륨이 많이 들어간 짠 음식, 커피, 패스트푸드, 인스턴트음식, 알코올과 흡연"
Whole,관절염,arthritis,관절통,피로,운동제한,부위 이상음,,,,,,,,관절염은 여러 가지 원인에 의해 관절에 염증이 생긴 것입니다.,"비타민 A와 C, E, K등이 들어간 물냉이, 콩류, 통곡물, 참치, 청어, 조개 등등, 오메가-3가 풍부한 연어나 정어리, 우슬",
Whole,류마티스관절염,rheumatoid arthritis,관절통,관절종창,피로,식욕부진,빈혈,체중감소,쇠약감,,,,,류마티스관절염은 관절의 활막에 생기는 만성염증을 특징으로 하는 만성염증성 질환입니다.,"항염 효능이 있는 생선, 홍삼, 불포화지방산이 풍부한 등푸른 생선, 베타카로틴이 풍부한 녹황생채소와 과일, 비타민C가 풍부한 채소와 과일, 셀레늄이 풍부한 음식, 비타민E가 풍부한 음식","술과 담배, 패스트푸드, 가공음식, 밀가루가 많음음식, 차가운 아이스크림이나 음료, 커피"
Whole,발목염좌,ankle sprain,압통,종창,부종,파열음,발목통증,,,,,,,발목염좌는 흔한 손상 중 하나로 발목이 심하게 꼬이거나 접질렸을 때?발목관절을 지탱하는?인대들이 손상을 입어 발생합니다.,"비타민 A와 C, E, K등이 들어간 물냉이, 콩류, 통곡물, 참치, 청어, 조개 등등, 오메가-3가 풍부한 연어나 정어리, 우슬",
Whole,오십견,frozen shoulder,어깨통증,야간통증,운동제한,,,,,,,,,보통?40~50대에 잘 생기기 때문에 일반적으로 오십견으로 불립니다. 어깨가 아프면서 굳어지는 증세를 보입니다. 이는 어깨운동을 점차 감소시키고 때로는 완전히 굳게 하기도 합니다.,"고추, 엄나무껍질, 토마토, 멸치, 등푸른생선, 홍어, 치즈, 족발, 오징어, 해삼","설탕이 들어간 달콤한것, 술, 기름진 음식, 커피, 홍차, 녹차등의 카페인, 짠음식"
Whole,일자목증후군,forward head posture,턱 이상음,걸음 장애,목주름,피로,손저림,근육통,,,,,,‘일자목증후군’이란 앞으로 목을 길게 빼는 자세 때문에 정상적인 경추 만곡인?'C'자 형태의 경추 정렬이 소실되어 생기는 증상들을 말한다.,"비타민 C가 넉넉하게 첨가되어있는 오렌지나 파인애플, 브로콜리 등, 통증을 가라앉히는 고춧잎, 뼈를 단단하게 만들어주는 칼슘과 리놀산, 유기백금 물질이 풍부하게 함유되어있는 홍화씨, 세로토닌 성분과 뼈를 견고히 해주는 캄슘이 포함된 우유","카페인이 많음 음료, 나트륨이 많이 들어간 음식, 술"
Whole,경추디스크,cervical spinal disc,후경부 통증,상지통증,상지약화,사지마비,,,,,,,,경추?디스크란 목 쪽?척추인 경추와 경추 사이에 있는?추간판(디스크) 사이로 내부의 수핵이 빠져 나와서 신경근 또는?척수를 누르는 질환이다.,"비타민 C가 넉넉하게 첨가되어있는 오렌지나 파인애플, 브로콜리 등, 통증을 가라앉히는 고춧잎, 뼈를 단단하게 만들어주는 칼슘과 리놀산, 유기백금 물질이 풍부하게 함유되어있는 홍화씨, 세로토닌 성분과 뼈를 견고히 해주는 캄슘이 포함된 우유","카페인이 많음 음료, 나트륨이 많이 들어간 음식, 술"
Whole,대동맥류,aortic aneurvsm,흉통,요통,얼굴부위 통증,기침,호흡곤란,쉰목소리,삼킴힘듬,,,,,"대동맥이 비정상적으로 부풀어 오른 상태입니다.?동맥경화가 주된 원인이며 고령이거나 고혈압 병력이 있는 사람,?대동맥류의 가족력이 있거나 흡연,?심장질환 등이 주요 위험인자입니다.","등푸른생선, 견과류, 들기름 등을 통한 오메가-3가 들어있는 음식, 올리브유, 카놀라유, 마늘, 양파, 비타민과 무기질이 많은 채소와 과일 그리고 콩류","지방이 많거나 콜레스테롤이 많은 음식, 자극적이고 맵거나 나트륨이 많은 음식, 너무 짜거나 너무 단 음식, 기름에 튀기거나 기름이 많은 음식, 인스턴트식품이나 조미료, 화학성분이 많은 음식"
Whole,폭염,heat wave,두통,경련,현기증,체온 증가,무기력함,,,,,,,폭염(暴炎)은 매우 심한 더위를 뜻하는 한자어이다.,"아침을 꼭 먹는다, 몸의 수분을 유지한다, 섬유질과 단백질 위주의 점심을 먹는다, 기력회복에 좋은 홍삼, 수분이 많은 과일, 오미자",없음
Whole,화상,burns,피부발적,물집,흉터,,,,,,,,,화상은 몸뿐만 아니라 마음에도 치명적인 상처를 남깁니다.?생명에 대한 위험도 심각합니다.?화상은 열에 의해 피부세포가 손상을 입는 현상을 말합니다.,"알로에, 토마토, 감자, 달걀, 딸기, 녹차, 묽은 소금물을 만들어 환부를 담그기, 꿀, 오이와 가지, 파프리카, 호박, 당근, 수박, 물",없음
Whole,루푸스,systemic lupus erythematosus,뺨의 발진,원판상 발진,광과민성,구강궤양,관절염,장막염,신경질환,혈액질환,,,,자가면역성 질환의 일종으로 우리 몸에 만성 염증을 일으키는 질병입니다.,"체내 항산화를 돕고, 염증완화에도 좋은 호박, 생강, 마늘, 라이코펜이 풍부한 토마토, 몸속 노폐물의 원활한 배출과 신장건강에 도움을 주는 양파, 미나리, 부추와 김, 톳, 다시마 등의 해조류, 불포화지방산이 풍부한 호두, 땅콩, 등푸른생선",없음
Whole,ADHD,ADHD,산만함,과잉행동,집중력부족,행동장애,,,,,,,,"주의력 결핍/과잉행동 장애(Attention?Deficit/Hyperactivity?Disorder,?ADHD)는 아동기에 많이 나타나는 장애로, 지속적으로 주의력이 부족하여 산만하고 과다활동, 충동성을 보이는 상태를 말한다.","비타민 C가 풍부한 아스파라거스, 오렌지 등, 향산화 물질이 포함된 홍삼, 아보카도, 참치, 블루베리 등, 참치, 달걀, 시금치, 견과류","첨가물이 많은 가공식품, 탄산음료, 설탕이 많이 들거나 정체된 음식, 실리실산염이 많이 든 식품, 식품알레르기를 유발하는 식품"
Whole,거식증,anorexia nervosa,부적절한 식이행동,폭식,자발적 구토,체중감소,저체온증,무월경,부종,저혈압,,,,"신경성 식욕부진증은 대표적인 섭식장애의 하나로, 살을 빼려는 지속적인 행동,?체중 감소, 음식과 체중과 연관된 부적절한 집착, 음식을 다루는 기이한 행동, 살이 찌는 것에 대한 강한 두려움 그리고?무월경?등을 주요 특징으로 하는 질환이다.",저지방식사,없음
Whole,폭식증,bulimia nervosa,폭식,구토,지나친 체중 감량 욕구,우울감,,,,,,,,"많은 양의 음식을 빠른 속도로 먹어 치우고,?배가 부름에도 먹는 것을 멈출 수 없는 식사 조절력의 상실감입니다.?이것이 일반적인 과식과는 다른 가장 큰 특징입니다","율무, 생강, 진피차",없음
Whole,동상,frostbite,홍반,물집,,,,,,,,,,동상이란 추운 환경에 노출된 신체 부위가 생리적인 대응 작용이 실패해 조직에 손상이 발생하는 것을 말합니다.,고단백음식,"음주, 흡연"
Whole,공황장애,panic disorder,공황발작,광장 공포증,빈맥,심계항진,호흡곤란,오한,,,,,,"불안장애의 일종으로,?심한 불안 발작과 함께 이상 증상들이 갑자기 나타나는 질병입니다.",없음,"카페인, 탄산음료, 흡연"
